24,Parallel,No,-,Open Drain,2.5mA,-,4.5 V ~ 5.5 V,0°C ~ 70°C,Through Hole,"40-DIP (0.600""* 15.24mm)",40-DIP
8,I²C* SMBus,No,POR,Open Drain* Push-Pull,18mA* 30mA,400kHz,2.3 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
8,I²C,Yes,POR,Push-Pull,25mA,1.7MHz,1.8 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"18-SOIC (0.295""* 7.50mm Width)",18-SOIC
16,I²C,Yes,POR,Push-Pull,25mA,400kHz,2 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC
16,I²C,Yes,POR,Push-Pull,25mA,1.7MHz,1.8 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"28-SOIC (0.295""* 7.50mm Width)",28-SOIC
16,I²C,Yes,POR,Push-Pull,25mA,1.7MHz,1.8 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"28-SSOP (0.209""* 5.30mm Width)",28-SSOP
8,SPI,Yes,POR,Push-Pull,25mA,10MHz,1.8 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"18-SOIC (0.295""* 7.50mm Width)",18-SOIC
8,CAN V2.0b,No,ADC* EEPROM* POR* PWM,Push-Pull,25mA,25MHz,2.7 V ~ 5.5 V,-40°C ~ 85°C,Through Hole,"14-DIP (0.300""* 7.62mm)",14-PDIP
8,CAN V2.0b,No,ADC* EEPROM* POR* PWM,Push-Pull,25mA,25MHz,2.7 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"14-SOIC (0.154""* 3.90mm Width)",14-SOIC
8,I²C,Yes,POR,Push-Pull,100µA* 25mA,400kHz,2.3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"20-LSSOP (0.173""* 4.40mm Width)",20-SSOP
16,I²C,Yes,POR,Push-Pull,100µA* 25mA,400kHz,2.3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"24-SSOP (0.209""* 5.30mm Width)",24-SSOP
4,I²C* SMBus,No,POR,Push-Pull,10mA* 25mA,400kHz,2.3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",8-TSSOP
16,I²C* SMBus,Yes,POR,Push-Pull,10mA* 25mA,400kHz,2.3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"24-SOIC (0.295""* 7.50mm Width)",24-SOIC
16,I²C* SMBus,Yes,POR,Push-Pull,10mA* 25mA,400kHz,2.3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"24-TSSOP (0.173""* 4.40mm Width)",24-TSSOP
8,I²C* SMBus,No,POR,Open Drain* Push-Pull,10mA* 25mA,400kHz,2.3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.154""* 3.90mm Width)",16-SOIC
8,I²C* SMBus,No,POR,Open Drain* Push-Pull,10mA* 20mA,400kHz,2.3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"16-TSSOP (0.173""* 4.40mm Width)",16-TSSOP
8,I²C,Yes,POR,Push-Pull,1mA* 25mA,100kHz,2.5 V ~ 6 V,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SOIC
8,I²C,Yes,POR,Push-Pull,1mA* 25mA,100kHz,2.5 V ~ 6 V,-40°C ~ 85°C,Surface Mount,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
8,I²C,Yes,POR,Push-Pull,300µA* 25mA,100kHz,2.5 V ~ 6 V,-40°C ~ 85°C,Surface Mount,"16-SOIC (0.295""* 7.50mm Width)",16-SO
8,I²C,Yes,POR,Push-Pull,1mA* 25mA,100kHz,2.5 V ~ 6 V,-40°C ~ 85°C,Surface Mount,"20-TSSOP (0.173""* 4.40mm Width)",20-TSSOP
8,I²C,Yes,POR,Push-Pull,300µA* 25mA,100kHz,2.5 V ~ 6 V,-40°C ~ 85°C,Surface Mount,"20-LSSOP (0.173""* 4.40mm Width)",20-SSOP
16,I²C,Yes,POR,Push-Pull,10mA* 25mA,400kHz,2.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"24-SSOP (0.209""* 5.30mm Width)",24-SSOP
