1000uF,20%,10V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
3.3uF,20%,50V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
220uF,20%,16V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
330uF,20%,6.3V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
22uF,20%,16V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
100uF,20%,6.3V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
10uF,20%,50V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
220uF,20%,16V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
68uF,20%,16V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
1000uF,20%,6.3V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
1000uF,20%,50V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
2.2uF,20%,50V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
1uF,20%,50V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
1000uF,20%,16V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
470uF,20%,10V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
100uF,20%,50V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
33uF,20%,200V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
680uF,20%,16V,-,-,-55°C ~ 100°C,Polar,-,General Purpose,-,-,-,-,-,-,-,Surface Mount,Radial, Can - SMD,
